#no,date,confirm,dead,heal,newAddConfirm,deadRate,healRate
0,01.28,57,0,3,0,0.00,5.26
1,01.29,74,0,3,13,0.00,4.05
2,01.30,98,0,6,22,0.00,6.12
3,01.31,124,0,11,20,0.00,8.87
4,02.01,139,0,11,13,0.00,7.91
5,02.02,149,1,11,10,0.67,7.38
6,02.03,154,1,12,5,0.65,7.79
7,02.04,177,1,19,22,0.56,10.73
8,02.05,201,1,21,14,0.50,10.45
9,02.06,225,1,25,24,0.44,11.11
10,02.07,273,1,27,48,0.37,9.89
11,02.08,299,1,29,26,0.33,9.70
12,02.09,313,1,30,14,0.32,9.58
13,02.10,385,1,36,72,0.26,9.35
14,02.11,397,1,44,12,0.25,11.08
15,02.12,444,1,50,47,0.23,11.26
16,02.13,505,2,56,61,0.40,11.09
17,02.14,516,2,59,11,0.39,11.43
18,02.15,601,3,61,85,0.50,10.15
19,02.16,687,3,84,78,0.44,12.23
20,02.17,800,3,88,104,0.38,11.00
21,02.18,904,3,114,104,0.33,12.61
22,02.19,1018,3,127,104,0.29,12.48
23,02.20,1096,8,127,78,0.73,11.59
24,02.21,1231,11,142,133,0.89,11.54
25,02.22,1528,14,154,156,0.92,10.08
26,02.23,1895,22,155,265,1.16,8.18
27,02.24,2286,32,173,368,1.40,7.57
28,02.25,2575,40,192,224,1.55,7.46
29,02.26,3085,51,220,492,1.65,7.13
30,02.27,3945,64,310,863,1.62,7.86
31,02.28,4947,80,360,998,1.62,7.28
32,02.29,6305,95,455,1349,1.51,7.22
33,03.01,7342,112,1020,1033,1.53,13.89
34,03.02,9628,152,558,2285,1.58,5.80
35,03.03,12047,184,895,2461,1.53,7.43
36,03.04,13897,236,909,2226,1.70,6.54
37,03.05,16234,296,1087,2572,1.82,6.70
38,03.06,19378,365,1556,3691,1.88,8.03
39,03.07,22903,451,1720,3443,1.97,7.51
40,03.08,26959,561,3208,3403,2.08,11.90
41,03.09,30814,766,3614,4913,2.49,11.73
42,03.10,35796,977,4212,5018,2.73,11.77
43,03.11,41212,1232,5274,5598,2.99,12.80
44,03.12,48724,1577,5779,7824,3.24,11.86
45,03.13,58493,1944,6544,9780,3.32,11.19
46,03.14,67414,2354,7947,9359,3.49,11.79
47,03.15,79559,2765,9304,13683,3.48,11.69
48,03.16,92093,3452,10413,16374,3.75,11.31
49,03.17,106167,4276,11680,14567,4.03,11.00
50,03.18,122946,4988,13496,17844,4.06,10.98
51,03.19,147281,6078,15402,24409,4.13,10.46
52,03.20,169551,6952,17687,23342,4.10,10.43
53,03.21,204426,8697,21255,35240,4.25,10.40
54,03.22,235356,10399,23726,34269,4.42,10.08
55,03.23,270475,12134,26726,35265,4.49,9.88
56,03.24,313748,14007,29315,45222,4.46,9.34
57,03.25,356275,16408,35350,44440,4.61,9.92
58,03.26,407822,18883,41244,51921,4.63,10.11
59,03.27,466847,21854,50313,58846,4.68,10.78
60,03.28,537365,25313,59267,70502,4.71,11.03
61,03.29,600203,28748,67976,63704,4.79,11.33
62,03.30,659449,31891,78354,60403,4.84,11.88
63,03.31,723899,36231,96623,64446,5.00,13.35
64,04.01,802883,40894,109027,78982,5.09,13.58
65,04.02,882341,45906,126381,79458,5.20,14.32
66,04.03,958134,51798,144442,75792,5.41,15.08
